Clapeyron Database File,,,,,,,,,,
SAFTgammaMie Like Parameters [csvtype = like,grouptype = SAFTgammaMie]
species,vst,S,lambda_r,lambda_a,sigma,epsilon,n_H,n_e1,n_e2,source
CH3,1,0.57255,15.05,6,4.0772,256.77,0,0,0,
CH2,1,0.22932,19.871,6,4.8801,473.39,0,0,0,
CH,1,0.0721,8,6,5.295,95.621,0,0,0,
C,1,0.04072,8,6,5.6571,50.02,0,0,0,
aCH~|~aCH_5,1,0.32184,14.756,6,4.0578,371.53,0,1,0,
aCCH2,1,0.20859,8.5433,6,5.2648,591.56,0,1,0,
aCCH,1,0.2065,8,6,4.3128,61.325,0,1,0,
CH2=,1,0.4489,20.271,6,4.3175,300.9,0,0,0,
CH=,1,0.20037,15.974,6,4.7488,952.54,0,0,0,
cCH2~|~cCH2_5,1,0.24751,20.386,6,4.7852,477.36,0,0,0,
COOH,1,0.55593,8,6,4.3331,405.78,1,2,2,
CH3COCH3,3,0.72135,17.433,6,3.598,286.02,1,1,1,
COO,1,0.65264,31.189,6,3.9939,868.92,0,2,0,
H2O,1,1,17.02,6,3.0063,266.68,2,2,0,
CH3OH,2,0.83517,19.235,6,3.2462,307.69,1,2,0,
CH4,1,1,12.504,6,3.737,152.58,0,0,0,
CO2,2,0.8468,26.408,5.055,3.05,207.89,0,1,1,
OH,1,0.9634,20.702,6,2.799,410.31,1,2,0,
CH2OH,2,0.58538,22.699,6,3.4054,407.22,1,2,0,
CHOH,2,0.18963,18.185,6,4.5381,599.66,1,2,0,
NH2,1,0.79675,10.254,6,3.2477,284.78,2,1,0,
NH,1,0.36589,19.999,6,3.2568,100,1,1,0,
N,1,0.15069,8.8971,6,3.0755,62.971,0,1,0,
cNH~|~cNH_5,1,0.16529,19.491,6,4.981,631.92,1,1,0,
cN~|~cN_5~|~cN_2,1,0.0719,7.0024,6,4.612,174.04,0,1,0,
C=,1,0.1533,8,6,4.033,1500,0,0,0,
aCCH3~|~aCCH3_5,1,0.31655,23.627,6,5.4874,651.41,0,1,0,
aCOH,1,0.74544,19.205,6,3.3521,431.1,1,2,1,
cCH,1,0.0961,8,6,5.4116,699.92,0,0,0,
cCHNH,1,0.15346,9.2374,6,5.5,691.56,1,1,0,
cCHN,1,0.10264,8.0016,6,4.445,709.99,0,1,0,
aCCOaC,3,0.18086,9.8317,6,4.067,656.71,0,0,0,
aCCOOH,2,0.6553,8,6,3.3942,313.35,1,2,2,
aCNHaC,1,0.54263,8.2761,6,3.3218,303.35,1,1,0,
CH3CO,2,0.54685,19.05,6,3.9112,525.22,0,2,0,
[CH3][OCH2],1,0.40981,10.127,6,2.8566,330.18,0,0,0,
[CH2][OCH2],1,0.40981,10.127,6,2.8566,248.2,0,0,0,
cO,1,0.47500,26.870,6,3.0000,586.52,0,1,0,
CH2OE,1,0.22932,19.871,6,4.8801,473.39,0,0,0,
N2,1,1.4214,9.8749,6,3.1760,72.438,0,0,0,
cC=O~|~cC=O_2,1,0.5544550671714208,10.08289222222115,6,4.7,767.8043193130934,0,2,0,
cCH=,1,0.2450334347237294,15.902635602118888,6,4.408353631803658,482.1980629390457,0,0,0,
cC=,1,0.16701504675618675,9.083774181717477,6,3.615732034023422,400.,0,0,0,
aN~|~aN_5~|~aN2,1,0.08480964367901125,100,6,5.999727026166633,80.47495894484928,0,1,0,
aCNH2,1,0.2667600645229138,90.1021581139686,6,5.196282503117258,701.7336432138454,2,1,0,
afC~|~afCp,1,0.0728329006117466,8.0,6,4.79830502172637,1704.411087621271,0,1,0,
cyO,1,0.417062879028113,10.779880812442599,6,4.817062873391947,616.3027264943147,0,2,0,
cCHOH~|~cCHOHn,1,0.68123,18.185,6.0000,2.8134,372.79,1,2,0,
PO43-~|~PO4-,1,1.0,12,6,4.76,727.1712650172354,0,3,0,10.1039/QR9561000283
NH4+,1,1,12,6,2.4,259.25371015732236,4,0,0,
H3O+,1,1,17.02,6,3.0063,68.181,3,0,0,
Li+,1,1,12,6,1.8,6.1036,0,0,0,
Na+,1,1,12,6,2.32,31.711,0,0,0,
K+,1,1,12,6,3.04,90.092,0,0,0,
Rb+,1,1,12,6,3.32,130.35,0,0,0,
Mg2+,1,1,12,6,1.72,89.259,0,0,0,
Ca2+,1,1,12,6,2.28,261.27,0,0,0,
Sr2+,1,1,12,6,2.64,305.77,0,0,0,
Ba2+,1,1,12,6,2.98,401.24,0,0,0,
N+,1,0.15069,8.8971,6,3.0755,62.971,1,0,0,
OH-,1,1,17.02,6,2.46,170.16,0,3,0,
F-,1,1,12,6,2.38,66.055,0,0,0,
Cl-,1,1,12,6,3.34,113.76,0,0,0,
Br-,1,1,12,6,3.64,107.38,0,0,0,
I-,1,1,12,6,4.12,102.89,0,0,0,
COO-,1,0.55593,8,6,4.3331,21.264,0,4,0,
HSO4-,1,1,12,6,4.12,82.082,0,0,0,
SO42-,1,1,12,6,4.6,70.322,0,4,0,
HNO3-,1,1.3452,16.347,6,3.619,496.33,1,3,0,
NO3-,1,1,12,6,3.58,97.848,0,3,0,
HCO3-,1,1,12,6,3.12,378.24,0,4,0,
CO32-,1,1,12,6,3.12,378.24,0,4,0,